student_id,pref_0,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9
0,7,8,1,5,3,4,2,0,9,6
1,6,3,9,2,7,8,0,1,5,4
2,1,6,4,2,9,8,0,5,3,7
3,1,4,3,2,6,5,9,7,0,8
4,6,4,3,9,2,5,7,8,0,1
5,0,3,7,2,4,6,8,1,9,5
6,6,5,8,2,4,7,0,3,1,9
7,6,2,7,3,0,8,9,5,4,1
8,8,3,6,1,4,0,7,9,2,5
9,7,5,9,3,0,2,1,4,8,6
10,6,7,3,9,0,2,4,1,8,5
11,1,2,7,6,3,8,5,0,4,9
12,5,9,3,4,7,1,2,6,8,0
13,2,7,8,9,6,5,4,0,3,1
14,8,9,6,5,0,4,1,7,3,2
15,5,2,6,1,3,7,0,8,9,4
16,2,0,6,9,3,4,7,5,1,8
17,5,7,1,8,6,4,2,9,0,3
18,1,7,4,8,2,6,3,9,0,5
19,2,8,0,1,7,3,5,4,9,6
20,6,9,5,8,1,4,2,7,3,0
21,9,7,6,0,8,5,4,1,3,2
22,3,0,4,6,8,9,2,5,7,1
23,3,6,2,0,1,4,7,8,9,5
24,4,0,9,2,8,1,3,6,5,7
25,9,0,4,7,8,5,1,3,6,2
26,6,8,5,4,3,7,0,9,1,2
27,4,5,8,7,6,0,3,2,1,9
28,9,0,8,1,5,7,3,4,2,6
29,5,1,4,7,0,6,8,2,3,9
30,2,8,6,4,9,0,5,7,1,3
31,4,9,3,6,1,2,0,5,7,8
32,5,8,6,0,7,9,4,2,3,1
33,2,8,4,1,5,3,6,9,7,0
34,0,7,2,9,5,1,8,4,3,6
35,7,3,9,4,0,8,6,1,5,2
36,4,2,6,8,1,5,3,9,0,7
37,3,8,7,6,4,0,5,9,2,1
38,9,8,2,1,3,6,7,0,5,4
39,2,3,8,4,7,1,9,5,6,0
40,9,2,5,4,0,6,3,8,1,7
41,3,5,0,8,9,1,6,4,7,2
42,0,3,1,5,4,2,8,9,7,6
43,1,0,8,6,7,3,9,4,5,2
44,6,8,7,5,2,3,9,4,1,0
45,1,7,4,3,0,8,9,6,5,2
46,4,2,5,3,1,7,0,8,9,6
47,2,4,6,1,3,5,7,8,9,0
48,4,0,8,3,7,5,6,2,1,9
49,0,5,2,4,3,1,9,6,8,7
50,1,3,7,8,9,6,0,2,4,5
51,3,4,5,1,0,8,9,6,2,7
52,3,0,8,1,5,7,6,9,4,2
53,6,5,4,8,0,9,7,3,1,2
54,6,0,1,8,2,4,7,3,5,9
55,2,7,8,9,4,3,0,5,1,6
56,3,1,9,7,2,4,6,5,8,0
57,1,9,2,8,4,0,7,6,5,3
58,8,9,7,5,4,6,3,0,2,1
59,2,1,3,7,5,6,4,8,9,0
60,6,4,9,1,2,8,7,3,5,0
61,5,4,7,2,6,9,0,1,8,3
62,9,0,7,1,3,8,4,2,5,6
63,5,8,6,2,9,1,3,4,7,0
64,7,0,4,9,2,5,1,6,3,8
65,0,9,2,1,8,4,3,5,6,7
66,3,8,1,5,6,9,2,7,0,4
67,7,0,9,6,2,8,3,5,1,4
68,2,5,3,8,4,1,0,9,6,7
69,6,4,5,1,9,0,7,8,2,3
70,0,6,1,8,3,7,9,2,4,5
71,0,5,4,9,2,6,3,7,8,1
72,5,1,7,6,9,8,2,4,0,3
73,5,3,0,8,1,6,4,9,2,7
74,2,4,7,5,1,0,6,9,8,3
75,8,3,9,1,7,4,5,0,6,2
76,5,1,2,6,4,0,8,7,3,9
77,3,5,4,7,0,1,6,9,2,8
78,6,8,0,3,4,2,7,5,9,1
79,7,4,3,2,9,0,8,6,5,1
80,3,7,9,1,5,2,0,4,6,8
81,2,0,8,6,1,9,4,3,5,7
82,3,8,6,2,0,5,4,7,9,1
83,6,2,4,7,8,9,3,5,1,0
84,7,5,9,6,2,3,1,4,0,8
85,6,1,7,3,5,0,9,4,8,2
86,6,8,3,0,7,5,1,4,2,9
87,9,6,8,3,7,5,2,4,0,1
88,1,2,0,6,9,3,5,8,7,4
89,6,2,0,3,4,9,7,1,5,8
90,5,2,3,0,7,4,1,8,9,6
91,4,1,9,8,6,5,2,7,3,0
92,3,4,6,1,0,7,8,5,9,2
93,3,0,2,5,1,8,4,6,7,9
94,1,3,2,8,9,0,7,5,4,6
95,9,5,6,2,3,4,0,8,1,7
96,9,7,8,0,6,1,4,5,3,2
97,2,7,5,8,1,0,6,4,3,9
98,5,4,9,7,3,6,2,1,0,8
99,8,2,1,6,4,7,0,9,5,3
