student_id,pref_0,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9
0,8,3,1,4,7,0,9,6,2,5
1,3,1,7,9,0,5,6,8,4,2
2,9,5,7,1,8,0,2,3,6,4
3,0,7,1,6,8,3,5,9,2,4
4,6,3,0,9,5,4,8,7,2,1
5,1,0,9,7,8,6,5,2,3,4
6,7,1,4,8,0,5,9,3,2,6
7,6,7,2,9,8,5,4,3,0,1
8,5,6,8,9,3,2,1,4,0,7
9,5,7,3,9,1,4,8,2,0,6
10,8,0,3,2,5,4,9,1,6,7
11,9,6,0,8,3,2,4,5,1,7
12,8,4,3,2,7,1,9,5,6,0
13,6,1,3,7,2,4,8,5,0,9
14,1,5,6,0,9,7,4,2,8,3
15,2,0,9,1,4,7,3,8,6,5
16,8,3,7,9,6,1,0,2,5,4
17,2,4,3,0,6,1,9,8,5,7
18,7,3,6,5,2,0,1,8,4,9
19,9,1,5,0,7,2,4,3,6,8
20,4,0,5,8,3,9,7,2,1,6
21,2,0,7,4,8,6,1,9,3,5
22,4,8,1,6,0,2,7,3,5,9
23,7,6,2,5,8,4,9,1,3,0
24,5,1,7,9,0,2,4,6,8,3
25,7,3,5,4,0,1,6,2,8,9
26,8,6,3,0,7,1,5,2,9,4
27,6,5,8,4,3,2,9,1,0,7
28,3,6,2,0,9,8,7,1,4,5
29,5,9,2,0,3,4,7,6,8,1
30,0,9,3,5,8,4,1,7,2,6
31,5,3,0,8,2,6,4,9,1,7
32,3,6,5,1,8,4,2,0,9,7
33,2,5,9,1,0,4,8,6,7,3
34,3,6,4,8,5,7,9,1,0,2
35,6,0,2,9,5,1,8,7,3,4
36,5,4,1,7,0,9,8,6,2,3
37,2,8,9,7,3,5,0,4,6,1
38,8,5,9,6,4,0,2,3,1,7
39,8,6,9,7,1,2,4,0,3,5
40,2,8,7,9,4,6,1,5,3,0
41,8,4,0,3,6,9,2,1,7,5
42,6,1,5,7,8,0,9,3,4,2
43,3,4,0,9,6,1,7,2,8,5
44,2,4,3,1,8,5,6,7,0,9
45,7,6,0,1,8,3,2,9,4,5
46,1,0,5,6,4,7,9,8,3,2
47,8,3,6,7,5,0,9,1,2,4
48,3,7,5,4,8,2,0,1,6,9
49,6,4,1,5,9,2,3,8,7,0
50,7,2,8,3,1,6,5,0,9,4
51,6,1,0,5,8,2,4,3,9,7
52,6,4,2,1,9,3,0,5,7,8
53,3,1,2,4,7,0,5,8,9,6
54,3,9,2,7,6,5,0,1,8,4
55,3,5,1,4,0,2,9,7,6,8
56,5,0,9,4,6,2,7,8,1,3
57,1,4,2,5,9,3,8,6,7,0
58,8,4,5,7,3,0,1,6,9,2
59,2,0,6,9,1,5,4,3,8,7
60,9,2,6,4,7,5,8,1,3,0
61,6,5,8,9,3,4,1,0,7,2
62,1,0,8,5,4,7,6,9,2,3
63,6,5,1,0,4,3,2,8,9,7
64,0,7,8,5,4,3,2,6,1,9
65,7,4,1,2,6,5,9,3,8,0
66,4,6,9,5,0,7,1,3,2,8
67,5,7,0,8,1,4,9,3,6,2
68,1,7,0,4,5,2,9,6,3,8
69,8,2,3,9,0,6,5,7,4,1
70,2,6,0,4,5,7,9,8,3,1
71,2,9,6,1,0,3,7,5,8,4
72,0,7,4,3,5,2,6,1,8,9
73,2,6,0,5,9,3,4,1,8,7
74,5,3,2,4,1,6,7,9,8,0
75,7,2,1,6,3,5,0,8,9,4
76,9,2,7,5,4,8,6,1,3,0
77,1,4,7,2,0,5,6,3,8,9
78,8,7,4,6,3,2,1,5,9,0
79,5,6,2,7,4,1,9,0,8,3
80,4,3,0,5,7,2,6,1,8,9
81,0,7,3,1,6,4,2,5,9,8
82,9,3,2,1,4,7,8,0,5,6
83,3,9,0,1,2,8,7,5,6,4
84,0,4,1,6,8,9,3,7,5,2
85,8,0,3,4,9,2,1,7,6,5
86,5,6,2,1,8,9,7,3,0,4
87,6,3,2,4,7,0,9,5,1,8
88,5,3,1,2,4,6,8,0,7,9
89,8,6,4,0,3,9,5,2,7,1
90,9,1,4,7,0,2,6,8,3,5
91,3,4,5,2,7,0,8,6,1,9
92,4,6,8,9,3,0,7,1,5,2
93,0,1,7,6,5,2,3,9,8,4
94,2,5,6,9,7,4,0,1,3,8
95,0,1,5,4,8,6,7,3,2,9
96,7,6,5,9,0,1,8,4,2,3
97,5,0,6,2,8,1,4,9,3,7
98,3,8,0,7,6,5,9,2,1,4
99,0,9,4,8,1,2,5,6,3,7
