student_id,pref_0,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9
0,8,2,0,7,6,9,5,1,4,3
1,7,9,1,0,2,3,4,6,5,8
2,8,6,4,5,1,3,7,0,2,9
3,6,7,0,5,4,2,8,3,9,1
4,9,7,2,8,4,6,1,3,5,0
5,9,6,7,2,5,1,3,8,4,0
6,4,3,6,8,1,9,0,5,2,7
7,0,8,4,1,3,6,9,5,7,2
8,9,0,7,6,2,4,8,3,5,1
9,2,6,3,8,7,5,1,9,0,4
10,8,0,6,5,4,1,2,9,7,3
11,2,9,7,3,5,0,6,4,1,8
12,6,2,0,9,1,3,8,7,5,4
13,8,5,9,1,4,0,2,7,6,3
14,3,9,6,4,0,8,5,2,1,7
15,1,2,8,9,5,4,0,3,6,7
16,3,8,1,4,7,9,0,5,6,2
17,1,9,6,7,4,8,3,2,0,5
18,9,0,8,4,6,3,1,5,2,7
19,2,5,7,3,9,8,0,6,1,4
20,5,7,9,8,6,1,3,2,0,4
21,7,5,0,8,9,4,3,2,6,1
22,1,2,6,5,0,7,8,3,4,9
23,8,3,4,5,2,1,7,0,6,9
24,4,0,1,2,3,8,6,5,9,7
25,1,2,8,5,4,3,7,9,6,0
26,5,8,2,4,3,7,1,0,9,6
27,4,1,8,7,3,0,9,5,2,6
28,3,0,4,9,8,2,7,5,6,1
29,1,2,5,9,4,8,3,6,0,7
30,7,6,5,1,8,0,3,4,9,2
31,7,8,3,1,4,6,2,9,5,0
32,8,1,4,2,9,6,0,3,7,5
33,0,8,6,4,2,7,9,1,5,3
34,1,8,7,4,9,3,2,5,0,6
35,1,3,2,9,7,8,4,6,5,0
36,1,0,9,8,5,6,7,3,4,2
37,7,5,4,9,3,2,1,0,6,8
38,6,9,5,8,1,0,7,3,4,2
39,4,9,8,7,6,1,0,3,2,5
40,4,8,3,1,5,9,2,0,6,7
41,4,3,8,6,5,7,2,0,9,1
42,1,7,9,6,5,3,8,4,2,0
43,3,2,9,6,4,5,7,1,0,8
44,3,0,5,1,6,9,7,2,4,8
45,1,6,9,7,2,3,4,5,0,8
46,7,9,8,3,6,5,1,2,0,4
47,2,6,3,0,1,8,4,9,5,7
48,6,1,0,9,2,5,8,7,4,3
49,5,6,2,9,3,7,1,8,0,4
50,5,6,7,9,3,8,4,0,2,1
51,0,3,6,2,1,5,9,7,8,4
52,9,8,2,5,4,0,7,3,6,1
53,1,7,2,5,8,4,0,3,9,6
54,0,6,7,9,8,3,1,5,2,4
55,2,5,6,1,3,8,7,9,0,4
56,3,4,0,6,7,9,2,8,1,5
57,7,8,2,1,6,3,5,0,4,9
58,9,5,1,6,7,0,4,2,3,8
59,5,3,1,6,4,2,0,9,7,8
60,5,9,3,4,1,0,7,8,2,6
61,0,9,8,2,1,6,4,7,3,5
62,1,8,7,5,0,3,9,6,4,2
63,5,1,2,6,8,0,7,4,9,3
64,9,6,3,0,1,2,4,8,7,5
65,4,1,9,8,7,2,3,0,6,5
66,9,7,6,2,3,5,1,8,0,4
67,2,4,0,1,9,8,5,7,6,3
68,4,1,6,5,3,0,7,8,2,9
69,3,7,9,6,8,0,1,2,4,5
70,3,5,2,0,8,1,4,9,6,7
71,2,0,8,5,7,3,9,6,4,1
72,2,6,3,9,0,4,8,1,7,5
73,1,4,2,0,8,3,5,9,6,7
74,9,7,1,6,2,3,5,8,0,4
75,3,9,7,8,4,2,6,0,1,5
76,1,4,6,9,8,2,3,5,7,0
77,0,6,2,3,4,9,5,1,7,8
78,2,4,6,3,1,5,7,0,9,8
79,3,5,0,9,1,7,4,2,6,8
80,3,9,4,1,0,2,5,8,6,7
81,5,7,2,1,9,0,8,4,3,6
82,3,0,4,5,8,9,6,2,1,7
83,5,6,9,1,2,7,8,4,3,0
84,7,6,3,5,0,9,8,4,1,2
85,6,5,4,2,9,0,3,1,7,8
86,2,0,9,7,4,6,1,8,5,3
87,4,8,5,3,6,1,2,0,7,9
88,6,3,5,4,2,7,0,1,9,8
89,7,1,4,9,2,6,8,0,5,3
90,0,9,5,7,8,6,3,1,4,2
91,4,9,3,2,7,6,1,8,0,5
92,5,1,4,8,9,2,7,6,0,3
93,6,4,8,1,2,7,9,5,0,3
94,9,6,1,5,3,0,4,2,8,7
95,7,5,9,0,6,4,1,3,2,8
96,5,1,6,8,3,7,2,9,0,4
97,3,0,7,8,9,2,1,6,4,5
98,0,4,8,2,7,3,5,9,1,6
99,3,7,8,9,1,4,2,6,5,0
